Severity,City,County,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Junction,Stop,Traffic_Signal,daytime
2,Bartlett,Dupage_IL,IL,73.9,38,10,11.5,0,Clear,FALSE,FALSE,FALSE,day
4,Somerdale,Camden_NJ,NJ,39,60,10,4.6,0,Clear,FALSE,FALSE,FALSE,night
2,Bryan,Brazos_TX,TX,59.7,26,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
3,Berkeley,Alameda_CA,CA,57.9,90,9,9.2,0,Scattered Clouds,FALSE,FALSE,FALSE,night
2,Vernon Hills,Lake_IL,IL,76,69,10,22,0,Cloudy / Windy,FALSE,FALSE,TRUE,day
3,Fort Worth,Tarrant_TX,TX,68,33,10,10,0,Fair,FALSE,FALSE,FALSE,day
2,San Bernardino,San Bernardino_CA,CA,66.2,43,7,9.2,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,West Islip,Suffolk_NY,NY,59,81,10,5.8,0.01,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Farmington,Davis_UT,UT,17.6,73,10,5.8,0,Overcast,FALSE,FALSE,FALSE,twilight
2,Mankato,Blue Earth_MN,MN,50,100,10,17,0,Light Rain,FALSE,FALSE,TRUE,day
2,Astoria,Queens_NY,NY,41,65,10,13.8,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
2,Canyon Country,Los Angeles_CA,CA,75,57,10,6,0,Partly Cloudy,FALSE,FALSE,FALSE,twilight
2,Baton Rouge,East Baton Rouge_LA,LA,64.9,100,0.8,0,0,Mist,FALSE,FALSE,FALSE,twilight
3,Mountlake Terrace,Snohomish_WA,WA,77,47,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,43,82,10,5.8,0,Light Rain,FALSE,FALSE,TRUE,twilight
2,Sacramento,Sacramento_CA,CA,93.2,23,10,6.9,0,Clear,FALSE,FALSE,FALSE,day
2,Los Angeles,Los Angeles_CA,CA,70,78,10,0,0,Clear,FALSE,FALSE,FALSE,night
3,Crockett,Contra Costa_CA,CA,60.1,51,10,4.6,0,Clear,FALSE,FALSE,FALSE,twilight
2,Lancaster,Lancaster_PA,PA,49,46,10,5,0,Fair,FALSE,FALSE,FALSE,day
2,Glendora,Los Angeles_CA,CA,59,59,10,0,0,Overcast,FALSE,FALSE,FALSE,day
2,Stockton,San Joaquin_CA,CA,82.9,36,10,6.9,0,Clear,FALSE,TRUE,FALSE,day
3,Palm Beach Gardens,Palm Beach_FL,FL,72,81,10,10.4,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Sylmar,Los Angeles_CA,CA,51.8,100,4,12.7,0,Overcast,TRUE,FALSE,FALSE,day
3,Norwalk,Los Angeles_CA,CA,62.1,78,10,3.5,0,Overcast,FALSE,FALSE,FALSE,twilight
2,Houston,Harris_TX,TX,84.2,66,10,3.5,0,Partly Cloudy,FALSE,FALSE,FALSE,night
2,Show Low,Navajo_AZ,AZ,21.2,63,10,0,0,Clear,FALSE,TRUE,FALSE,day
2,Fort Lauderdale,Broward_FL,FL,82,76,10,3,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,Little Falls,Passaic_NJ,NJ,75.9,38,10,6.9,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Raleigh,Wake_NC,NC,64,87,10,4.6,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Mission Hills,Los Angeles_CA,CA,59,100,10,7,0,Light Rain,FALSE,FALSE,FALSE,day
2,Janesville,Lassen_CA,CA,57,44,10,8,0,Fair,FALSE,FALSE,FALSE,twilight
3,Salome,La Paz_AZ,AZ,35.6,65,10,6.9,0,Clear,FALSE,FALSE,FALSE,night
2,Atwater,Merced_CA,CA,93,28,8,0,0,Fair,FALSE,FALSE,FALSE,day
2,Dallas,Dallas_TX,TX,63,84,10,11.5,0.12,Light Rain,FALSE,FALSE,FALSE,night
2,Grand Prairie,Dallas_TX,TX,62.6,37,10,6.9,0,Clear,FALSE,FALSE,FALSE,day
4,Elkton,Cecil_MD,MD,46.9,74,10,5.8,0,Clear,FALSE,FALSE,FALSE,night
3,Louisville,Jefferson_KY,KY,81,82,7,18.4,0.02,Light Thunderstorms and Rain,FALSE,FALSE,FALSE,day
2,Raleigh,Wake_NC,NC,66,93,3,7,0,Cloudy,FALSE,FALSE,FALSE,day
2,Nichols,Horry_SC,SC,84.2,70,5,5.8,0,Haze,FALSE,FALSE,FALSE,day
2,Arroyo Grande,San Luis Obispo_CA,CA,61,83,10,4.6,0,Overcast,FALSE,FALSE,FALSE,night
3,Chicago,Cook_IL,IL,34,59,10,4.6,0,Overcast,FALSE,FALSE,FALSE,night
2,Charlotte,Mecklenburg_NC,NC,75.2,89,10,9.2,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Burton,Genesee_MI,MI,56,75,10,8,0,Fair,FALSE,FALSE,FALSE,day
3,Detroit,Wayne_MI,MI,28.9,72,10,8.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Hayward,Alameda_CA,CA,55.4,82,6,10.4,0,Light Rain,FALSE,FALSE,FALSE,day
2,Hartford,Hartford_CT,CT,51,86,10,10,0.02,Light Rain,FALSE,FALSE,FALSE,twilight
3,Sherman Oaks,Los Angeles_CA,CA,72,53,5,4.6,0,Haze,TRUE,FALSE,FALSE,day
2,Porterville,Tulare_CA,CA,60,80,10,3,0,Cloudy,FALSE,FALSE,FALSE,twilight
2,Santa Barbara,Santa Barbara_CA,CA,55,86,9,0,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Austin,Travis_TX,TX,46,47,10,4.6,0,Clear,FALSE,FALSE,FALSE,night
2,Houston,Harris_TX,TX,77,65,10,8.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Santa Ana,Orange_CA,CA,64,80,8,5.8,0,Overcast,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,77,88,10,3.5,0,Scattered Clouds,FALSE,FALSE,FALSE,night
2,Richmond,Richmond City_VA,VA,35.1,54,10,5.8,0,Partly Cloudy,FALSE,FALSE,FALSE,twilight
2,Bothell,Snohomish_WA,WA,84,33,10,6.9,0,Clear,FALSE,FALSE,FALSE,day
2,Fresno,Fresno_CA,CA,51,80,5,3,0,Fair,TRUE,FALSE,FALSE,day
2,Baton Rouge,East Baton Rouge_LA,LA,89.1,42,10,5.8,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Macon,Bibb_GA,GA,84,72,10,8.1,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Chester,Chesterfield_VA,VA,37,52,10,8.1,0,Overcast,FALSE,FALSE,FALSE,night
3,Taylor,Wayne_MI,MI,63,70,10,4.6,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
2,Orange,Orange_CA,CA,59,64,10,7,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Gardena,Los Angeles_CA,CA,75,71,10,10.4,0,Clear,TRUE,FALSE,FALSE,day
3,Milpitas,Santa Clara_CA,CA,66.9,63,5,0,0,Haze,FALSE,FALSE,FALSE,day
2,Atlanta,Fulton_GA,GA,82.9,67,10,4.6,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Spokane,Spokane_WA,WA,53.1,71,10,0,0,Overcast,FALSE,FALSE,TRUE,twilight
2,Omaha,Douglas_NE,NE,70.7,94,2,6.9,0.16,Heavy Thunderstorms and Rain,FALSE,FALSE,TRUE,twilight
2,Gilchrist,Klamath_OR,OR,37.4,100,5,0,0,Light Rain,FALSE,FALSE,FALSE,night
3,Los Angeles,Los Angeles_CA,CA,66.9,87,6,0,0,Overcast,FALSE,FALSE,FALSE,night
2,Hutto,Williamson_TX,TX,53.6,88,10,0,0,Clear,FALSE,FALSE,TRUE,day
2,North Las Vegas,Clark_NV,NV,84.9,17,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
3,Washington,District of Columbia_DC,DC,55.9,93,7,15,0.01,Light Rain,TRUE,FALSE,FALSE,twilight
2,Austin,Travis_TX,TX,77.2,79,10,5.8,0,Overcast,FALSE,FALSE,TRUE,day
3,Mc Lean,Fairfax County_VA,VA,60.1,41,10,9.2,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Augusta,Richmond_GA,GA,67,87,4,0,0,Fair,FALSE,FALSE,TRUE,twilight
2,Baton Rouge,East Baton Rouge_LA,LA,57.9,81,9,5.8,0,Light Rain,FALSE,FALSE,FALSE,day
2,Lafayette,Lafayette_LA,LA,77,88,10,3.5,0,Overcast,FALSE,FALSE,FALSE,day
3,Springfield,Fairfax County_VA,VA,73.9,78,10,6.9,0,Clear,FALSE,FALSE,FALSE,day
2,Simpsonville,Greenville_SC,SC,51.8,100,0.1,0,0,Fog,FALSE,FALSE,FALSE,twilight
2,Grand Rapids,Kent_MI,MI,34,96,1.8,13.8,0.1,Light Rain,FALSE,FALSE,FALSE,day
2,Valencia,Los Angeles_CA,CA,65,84,5,5,0,Fair,TRUE,FALSE,FALSE,night
2,Cerritos,Los Angeles_CA,CA,81,50,10,3.5,0,Clear,FALSE,FALSE,FALSE,day
3,Saint Paul,Ramsey_MN,MN,75,24,10,5,0,Fair,FALSE,FALSE,FALSE,day
2,Dayton,Montgomery_OH,OH,57.9,72,10,4.6,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Homestead,Miami-Dade_FL,FL,86.4,75,10,9.2,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Dover,York_PA,PA,75.9,85,10,6.9,0,Overcast,FALSE,FALSE,FALSE,day
2,La Pine,Deschutes_OR,OR,61,29,9,5,0,Cloudy,FALSE,FALSE,TRUE,twilight
2,Baton Rouge,East Baton Rouge_LA,LA,69.1,35,10,10.4,0,Clear,FALSE,FALSE,TRUE,day
2,Belton,Anderson_SC,SC,72,38,10,9.2,0,Clear,FALSE,FALSE,FALSE,day
2,New Holland,Lancaster_PA,PA,39.9,53,10,18.4,0,Partly Cloudy,FALSE,TRUE,FALSE,day
2,Brainerd,Crow Wing_MN,MN,17,68,8,6,0,Cloudy,FALSE,FALSE,FALSE,day
2,Pendleton,Umatilla_OR,OR,81,24,10,13,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Windermere,Orange_FL,FL,80.1,71,10,6.9,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
3,Houston,Harris_TX,TX,75,94,3,6,0.05,Rain,FALSE,FALSE,FALSE,day
3,Bethesda,Montgomery_MD,MD,73.4,53,10,5.8,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Decatur,DeKalb_GA,GA,79,44,10,6,0,Fair,FALSE,FALSE,FALSE,day
2,San Francisco,San Francisco_CA,CA,59,87,9,10.4,0,Overcast,FALSE,FALSE,FALSE,day
2,Rochester,Monroe_NY,NY,66,34,10,7,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
3,Olympia,Thurston_WA,WA,60,90,3,10,0.03,Light Rain,FALSE,FALSE,FALSE,day
3,Metairie,Jefferson_LA,LA,77,76,10,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Phoenix,Maricopa_AZ,AZ,73,35,10,0,0,Partly Cloudy,FALSE,FALSE,FALSE,twilight
2,Ferndale,Whatcom_WA,WA,64.9,68,10,12.7,0,Clear,TRUE,FALSE,FALSE,twilight
2,Diamond Bar,Los Angeles_CA,CA,66,49,10,0,0,Fair,FALSE,FALSE,FALSE,day
4,Cle Elum,Kittitas_WA,WA,70,39,10,17,0,Cloudy,FALSE,FALSE,FALSE,twilight
2,Tulsa,Tulsa_OK,OK,39.9,36,10,6.9,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
4,Cranston,Providence_RI,RI,78,79,7,7,0.02,Light Rain,TRUE,FALSE,FALSE,day
3,Birmingham,Jefferson_AL,AL,9,73,10,13.8,0,Partly Cloudy,FALSE,FALSE,FALSE,twilight
4,Pineview,Pulaski_GA,GA,68,96,5,5.8,0,Thunderstorms and Rain,FALSE,FALSE,FALSE,night
2,Raleigh,Wake_NC,NC,54,45,10,11.5,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Reddick,Marion_FL,FL,78.1,50,10,9.2,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Columbia,Tuolumne_CA,CA,39,93,10,0,0,Fair,FALSE,FALSE,FALSE,night
3,Baton Rouge,East Baton Rouge_LA,LA,81,60,10,24.2,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Saratoga,Santa Clara_CA,CA,69.1,39,10,0,0,Partly Cloudy,TRUE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,69.8,100,4,4.6,0,Overcast,FALSE,FALSE,TRUE,day
2,Tucson,Pima_AZ,AZ,99,7,10,21,0,Fair / Windy,FALSE,FALSE,TRUE,day
2,Oakland,Alameda_CA,CA,61,75,10,5,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Mount Morris,Genesee_MI,MI,53,71,10,6,0,Fair,FALSE,FALSE,TRUE,night
2,San Leandro,Alameda_CA,CA,43,89,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
2,Atlanta,DeKalb_GA,GA,88,46,10,5.8,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Milwaukee,Milwaukee_WI,WI,51.1,86,10,6.9,0,Partly Cloudy,FALSE,FALSE,FALSE,night
3,Woodbridge,Prince William_VA,VA,61,94,4,3,0,Light Rain,FALSE,FALSE,FALSE,night
2,Austin,Travis_TX,TX,68,87,8,10.4,0,Overcast,FALSE,FALSE,TRUE,day
3,Columbus,Franklin_OH,OH,91,42,10,13,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Columbia,Richland_SC,SC,41,86,10,13.8,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Albany,Linn_OR,OR,37,100,0.75,3,0,Fog,FALSE,FALSE,FALSE,night
2,San Pablo,Contra Costa_CA,CA,53,83,3,0,0,Haze,FALSE,FALSE,FALSE,night
3,Seattle,King_WA,WA,60,72,10,12,0,Cloudy,FALSE,FALSE,FALSE,day
3,Boca Raton,Palm Beach_FL,FL,75.2,57,10,9.2,0,Clear,FALSE,FALSE,FALSE,day
2,Wadsworth,Lake_IL,IL,80.1,45,10,4.6,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Palm Harbor,Pinellas_FL,FL,68,30,10,5.8,0,Clear,FALSE,FALSE,FALSE,day
3,Memphis,Shelby_TN,TN,57,96,8,12.7,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Sandy,Salt Lake_UT,UT,55.9,48,10,3.5,0,Clear,FALSE,FALSE,FALSE,day
2,Sanford,Seminole_FL,FL,75.9,79,10,9.2,0,Overcast,FALSE,FALSE,TRUE,day
2,Anaheim,Orange_CA,CA,67,54,10,0,0,Fair,FALSE,FALSE,FALSE,night
2,Porter Ranch,Los Angeles_CA,CA,69,75,10,6,0,Fair,FALSE,FALSE,FALSE,night
2,Austin,Travis_TX,TX,76.3,64,10,9.2,0,Scattered Clouds,FALSE,FALSE,TRUE,day
3,Jacksonville,Duval_FL,FL,71.1,84,10,4.6,0,Partly Cloudy,FALSE,FALSE,FALSE,night
2,Miami,Miami-Dade_FL,FL,73,87,8,5.8,0.03,Light Rain,FALSE,FALSE,TRUE,twilight
2,Miami,Miami-Dade_FL,FL,79,79,10,6.9,0,Clear,FALSE,FALSE,FALSE,night
2,Washington,District of Columbia_DC,DC,83,79,9,9,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Dublin,Franklin_OH,OH,80,69,10,13,0,Fair,FALSE,FALSE,FALSE,day
2,Raleigh,Wake_NC,NC,72,59,10,6,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,El Paso,El Paso_TX,TX,75,9,10,10.4,0,Partly Cloudy,FALSE,FALSE,FALSE,day
4,Felton,Kent_DE,DE,62.6,100,6,21.9,0,Light Drizzle,FALSE,FALSE,FALSE,night
2,Houston,Harris_TX,TX,64.9,36,10,17.3,0,Overcast,FALSE,FALSE,TRUE,day
2,Christmas,Orange_FL,FL,75.2,94,7,0,0,Clear,FALSE,FALSE,FALSE,night
4,Dallas,Dallas_TX,TX,77,89,10,3.5,0,Clear,FALSE,FALSE,FALSE,day
2,Austin,Travis_TX,TX,99,33,10,0,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Lebanon,Lebanon_PA,PA,70,60,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
2,Vale,Malheur_OR,OR,45,52,9,5,0,Fair,FALSE,FALSE,FALSE,night
2,Omaha,Douglas_NE,NE,66.7,95,10,5.8,0,Clear,FALSE,FALSE,FALSE,day
2,Byron,Olmsted_MN,MN,47,74,10,5,0,Fair,FALSE,FALSE,FALSE,twilight
2,Orlando,Orange_FL,FL,80,94,10,0,0,Fair,FALSE,FALSE,TRUE,day
2,Concord,Contra Costa_CA,CA,59,62,10,6,0,Fair,FALSE,FALSE,FALSE,day
2,Morrisville,Wake_NC,NC,64.9,61,10,15,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Denver,Adams_CO,CO,35.6,87,20,4.6,0,Overcast,FALSE,FALSE,FALSE,day
2,Plano,Collin_TX,TX,84,66,10,6,0,Fair,FALSE,FALSE,FALSE,day
3,Jacksonville,Duval_FL,FL,85,53,10,5,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Rochester,Monroe_NY,NY,68,65,10,5,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,Houston,Harris_TX,TX,64.4,37,10,6.9,0,Clear,FALSE,FALSE,TRUE,twilight
3,Selkirk,Albany_NY,NY,54,62,10,14,0,Cloudy,FALSE,FALSE,FALSE,day
2,Flint,Genesee_MI,MI,79,64,10,5.8,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Sacramento,Sacramento_CA,CA,71.6,23,10,0,0,Clear,FALSE,FALSE,TRUE,day
2,Diamond Bar,Los Angeles_CA,CA,59,36,10,0,0,Clear,FALSE,FALSE,FALSE,night
2,Los Angeles,Los Angeles_CA,CA,70,61,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
3,Baldwin Park,Los Angeles_CA,CA,80.6,48,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
2,Austin,Travis_TX,TX,82,34,10,21.9,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Austin,Travis_TX,TX,70,41,10,0,0,Clear,FALSE,FALSE,FALSE,day
2,Sterling,Loudoun_VA,VA,81,67,10,10.4,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Ridgefield Park,Bergen_NJ,NJ,68,70,10,0,0,Clear,FALSE,FALSE,FALSE,day
3,Indianapolis,Marion_IN,IN,39,75,10,9,0,Fair,FALSE,FALSE,FALSE,day
2,Raleigh,Wake_NC,NC,42.1,35,10,0,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Naples,Collier_FL,FL,75.9,87,10,4.6,0,Mostly Cloudy,FALSE,FALSE,TRUE,twilight
2,Reedley,Fresno_CA,CA,67,40,10,3,0,Fair,FALSE,FALSE,FALSE,twilight
2,Los Angeles,Los Angeles_CA,CA,73,64,10,0,0,Clear,FALSE,FALSE,FALSE,day
3,Los Angeles,Los Angeles_CA,CA,89,13,10,0,0,Fair,TRUE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,48.9,100,0.8,11.5,0,Overcast,FALSE,FALSE,TRUE,day
3,Arlington,Tarrant_TX,TX,51,89,5,23,0.06,Rain / Windy,FALSE,FALSE,FALSE,day
2,Chicago,Cook_IL,IL,45,90,2,8.1,0.01,Light Rain,FALSE,FALSE,FALSE,night
2,Russiaville,Howard_IN,IN,55.4,100,2.5,4.6,0,Clear,FALSE,FALSE,FALSE,twilight
2,College Point,Queens_NY,NY,50,59,10,9.2,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,West Union,Oconee_SC,SC,87,59,9,12,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Olympia,Thurston_WA,WA,59,96,6,8,0.09,Cloudy,FALSE,FALSE,FALSE,twilight
2,Morristown,Morris_NJ,NJ,42.8,93,8,0,0,Overcast,FALSE,FALSE,FALSE,day
3,Richmond,Contra Costa_CA,CA,57.9,53,10,13.8,0,Scattered Clouds,FALSE,FALSE,TRUE,day
2,Houston,Harris_TX,TX,80,79,10,6,0,Fair,FALSE,FALSE,TRUE,day
2,Montgomery,Montgomery_AL,AL,46,71,10,8,0,Cloudy,FALSE,FALSE,TRUE,day
2,Lexington,Lexington_SC,SC,95,28,10,5,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,San Antonio,Bexar_TX,TX,62.6,94,2,4.6,0,Overcast,FALSE,FALSE,TRUE,day
2,Omaha,Douglas_NE,NE,73.6,62,10,0,0,Clear,FALSE,FALSE,FALSE,day
2,Perry,Taylor_FL,FL,84,44,10,10,0,Fair,FALSE,FALSE,TRUE,day
2,Houston,Harris_TX,TX,84.9,67,10,6.9,0,Mostly Cloudy,TRUE,FALSE,TRUE,day
2,Gig Harbor,Pierce_WA,WA,73.9,52,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
2,Alpharetta,Fulton_GA,GA,88,45,10,8.1,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,Wantagh,Nassau_NY,NY,75.9,48,10,5.8,0,Clear,FALSE,FALSE,FALSE,day
3,Atlanta,Cobb_GA,GA,69.3,40,10,0,0,Clear,FALSE,FALSE,FALSE,day
3,Greenville,Greenville_SC,SC,84.9,48,10,3.5,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Austin,Travis_TX,TX,37,52,10,16.1,0,Overcast,FALSE,FALSE,TRUE,night
2,Occidental,Sonoma_CA,CA,46,76,10,0,0,Fair,FALSE,FALSE,FALSE,day
2,Tacoma,Pierce_WA,WA,28.4,81,10,2.3,0,Clear,FALSE,FALSE,FALSE,twilight
2,Jacksonville,Duval_FL,FL,75.9,38,10,12.7,0,Partly Cloudy,TRUE,FALSE,FALSE,day
2,San Antonio,Bexar_TX,TX,68.7,80,10,3.5,0,Scattered Clouds,FALSE,FALSE,TRUE,day
2,Bradenton,Manatee_FL,FL,80.1,81,10,6.9,0,Light Rain,FALSE,FALSE,FALSE,day
2,Hortense,Brantley_GA,GA,48.2,37,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
3,Evergreen,Clear Creek_CO,CO,63,19,10,22,0,Mostly Cloudy / Windy,FALSE,FALSE,FALSE,day
2,Gray Court,Laurens_SC,SC,68,56,10,6.9,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Gold Bar,Snohomish_WA,WA,73,46,10,8.1,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Milford,Oakland_MI,MI,3,84,9,0,0,Light Snow,FALSE,FALSE,FALSE,twilight
2,Miami,Miami-Dade_FL,FL,82.9,77,10,16.1,0,Scattered Clouds,FALSE,FALSE,FALSE,twilight
2,Elk Grove,Sacramento_CA,CA,91.9,23,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,57.2,67,10,0,0,Overcast,TRUE,FALSE,FALSE,night
2,Flint,Genesee_MI,MI,48,93,10,17.3,0.04,Overcast,FALSE,FALSE,FALSE,night
2,Fort Lauderdale,Broward_FL,FL,66.9,70,10,4.6,0,Scattered Clouds,FALSE,FALSE,TRUE,day
3,Vian,Sequoyah_OK,OK,32,80,10,0,0,Clear,FALSE,FALSE,FALSE,day
2,Amityville,Suffolk_NY,NY,61,67,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
3,San Jose,Santa Clara_CA,CA,55.9,67,10,11.5,0,Mostly Cloudy,FALSE,FALSE,FALSE,twilight
3,Jacksonville,Duval_FL,FL,82,74,10,6.9,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Pittsburgh,Allegheny_PA,PA,63,90,0.8,12.7,0.45,Heavy Rain,FALSE,FALSE,FALSE,day
3,Melbourne,Brevard_FL,FL,66.9,51,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
3,Hyattsville,Prince George's_MD,MD,33.4,94,10,0,0,Clear,TRUE,FALSE,FALSE,twilight
3,Seattle,King_WA,WA,59,75,10,6.9,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Bala Cynwyd,Montgomery_PA,PA,71,73,10,0,0,Fair,FALSE,FALSE,TRUE,day
2,Mobile,Mobile_AL,AL,87.1,63,10,4.6,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Charlotte,Mecklenburg_NC,NC,39.9,79,10,9.2,0,Clear,FALSE,FALSE,FALSE,twilight
2,Ogden,Weber_UT,UT,43,65,10,0,0,Clear,FALSE,TRUE,FALSE,twilight
2,Denver,Denver_CO,CO,30.2,86,10,8.1,0,Clear,FALSE,FALSE,TRUE,twilight
2,Addison,Dallas_TX,TX,84.4,65,10,4.6,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
2,Bronx,Bronx_NY,NY,47,77,10,6,0,Cloudy,FALSE,FALSE,FALSE,day
